         974081 function calls (965351 primitive calls) in 300.959 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1472    0.088    0.000    0.088    0.000 {built-in method posix.sysconf}
    11025    0.081    0.000    0.081    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     7350    0.025    0.000    0.080    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/eager/context.py:2570(executing_eagerly)
     3675    0.025    0.000    0.075    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5512(name_scope)
      735    0.027    0.000    0.075    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:238(valid_audio)
     1470    0.008    0.000    0.068    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:751(get_output_details)
      735    0.068    0.000    0.068    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1255(mel_to_hz)
      735    0.006    0.000    0.066    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2979(prod)
     8820    0.038    0.000    0.066    0.000 <frozen importlib._bootstrap>:1167(_find_and_load)
      735    0.011    0.000    0.059    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:61(__init__)
     4410    0.055    0.000    0.058    0.000 {built-in method tensorflow.python.framework._pywrap_python_api_dispatcher.Dispatch}
     6615    0.011    0.000    0.058    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
     4410    0.040    0.000    0.057    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:1330(normalize_axis_tuple)
     1470    0.053    0.000    0.056    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1181(hz_to_mel)
      735    0.004    0.000    0.055    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:928(invoke)
     1470    0.012    0.000    0.055    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:759(<listcomp>)
     2205    0.046    0.000    0.055    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:129(_set_pad_area)
     5145    0.009    0.000    0.054    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:96(base_dtype)
     8085    0.053    0.000    0.053    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/eager/context.py:1170(executing_eagerly)
      735    0.003    0.000    0.052    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:704(set_tensor)
    11025    0.052    0.000    0.052    0.000 {built-in method numpy.asarray}
      735    0.009    0.000    0.052    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2421(all)
      748    0.007    0.000    0.051    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:710(get_device_info_by_host_api_device_index)
     9555    0.050    0.000    0.050    0.000 {built-in method numpy.array}
      735    0.049    0.000    0.049    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.SetTensor}
      735    0.013    0.000    0.048    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:78(_clear_buffers)
    32419    0.028    0.000    0.047    0.000 {built-in method builtins.isinstance}
      735    0.046    0.000    0.046    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.Invoke}
     5145    0.044    0.000    0.044    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:83(_is_ref_dtype)
     6615    0.018    0.000    0.043    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
      735    0.006    0.000    0.042    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1587(fft_frequencies)
      749    0.008    0.000    0.041    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:827(get_device_info_by_index)
     2940    0.018    0.000    0.041    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:615(__tf_tensor__)
     3675    0.027    0.000    0.040    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:793(as_dtype)
      735    0.007    0.000    0.040    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:391(numpy)
     5880    0.017    0.000    0.038    0.000 /usr/lib/python3.11/threading.py:359(notify)
     1470    0.016    0.000    0.037    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numerictypes.py:357(issubdtype)
     4411    0.019    0.000    0.036    0.000 /usr/lib/python3.11/logging/__init__.py:1479(info)
      735    0.034    0.000    0.036    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/function_base.py:1324(diff)
      735    0.025    0.000    0.036    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/fft/helper.py:172(rfftfreq)
     4410    0.010    0.000    0.035    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:537(swapaxes)
     6615    0.027    0.000    0.034    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:385(dtype)
    12494    0.026    0.000    0.033    0.000 /usr/lib/python3.11/queue.py:209(_qsize)
        1    0.000    0.000    0.033    0.033 /home/alvaro/TFG/V5_Audio/audio_recorder.py:121(__del__)
        1    0.000    0.000    0.033    0.033 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:594(terminate)
        1    0.033    0.033    0.033    0.033 {built-in method pyaudio._portaudio.terminate}
    11025    0.018    0.000    0.032    0.000 /usr/lib/python3.11/threading.py:279(_is_owned)
        1    0.000    0.000    0.032    0.032 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:520(__del__)
     2205    0.032    0.000    0.032    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.032    0.032    0.032    0.032 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:106(__del__)
