         983162 function calls (974355 primitive calls) in 301.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1484    0.007    0.000    0.194    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:39(_amax)
      743    0.003    0.000    0.190    0.000 /usr/lib/python3/dist-packages/psutil/__init__.py:331(__init__)
      743    0.024    0.000    0.187    0.000 /usr/lib/python3/dist-packages/psutil/__init__.py:334(_init)
     2226    0.021    0.000    0.185    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:673(get_input_details)
      742    0.118    0.000    0.184    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/spectrum.py:1697(power_to_db)
     8904    0.044    0.000    0.172    0.000 /usr/lib/python3.11/importlib/__init__.py:108(import_module)
        1    0.000    0.000    0.168    0.168 /home/alvaro/TFG/V5_Audio/audio_recorder.py:80(__init__)
        1    0.000    0.000    0.167    0.167 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:589(__init__)
        1    0.167    0.167    0.167    0.167 {built-in method pyaudio._portaudio.initialize}
     3710    0.065    0.000    0.150    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:586(_get_tensor_details)
      743    0.006    0.000    0.147    0.000 /usr/lib/python3/dist-packages/psutil/__init__.py:708(create_time)
     2226    0.035    0.000    0.139    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:699(<listcomp>)
      743    0.010    0.000    0.138    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:1853(create_time)
     2230    0.006    0.000    0.137    0.000 /usr/lib/python3/dist-packages/psutil/_common.py:727(open_binary)
      742    0.004    0.000    0.136    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:188(get_output)
      742    0.053    0.000    0.131    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:192(output_tensor)
     2230    0.131    0.000    0.131    0.000 {built-in method io.open}
     2226    0.085    0.000    0.123    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
     2968    0.123    0.000    0.123    0.000 {built-in method numpy.zeros}
     4452    0.056    0.000    0.119    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:458(_as_pairs)
      742    0.006    0.000    0.118    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:2097(cast)
      742    0.006    0.000    0.117    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:8139(real_div)
     8904    0.027    0.000    0.116    0.000 <frozen importlib._bootstrap>:1194(_gcd_import)
     2226    0.039    0.000    0.115    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:1393(moveaxis)
      742    0.012    0.000    0.107    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3385(mean)
     2226    0.076    0.000    0.105    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:86(_pad_simple)
      742    0.075    0.000    0.105    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:523(_parse_einsum_input)
     1486    0.010    0.000    0.104    0.000 /usr/lib/python3/dist-packages/psutil/__init__.py:1567(cpu_count)
     1484    0.031    0.000    0.103    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
44552/42326    0.084    0.000    0.097    0.000 {built-in method builtins.getattr}
     1486    0.006    0.000    0.095    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:613(cpu_count_logical)
      742    0.041    0.000    0.095    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:101(_mean)
     2229    0.090    0.000    0.090    0.000 {method 'read' of '_io.BufferedReader' objects}
     1486    0.089    0.000    0.089    0.000 {built-in method posix.sysconf}
     7420    0.024    0.000    0.082    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/eager/context.py:2570(executing_eagerly)
      742    0.029    0.000    0.079    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:238(valid_audio)
    11130    0.078    0.000    0.078    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     3710    0.024    0.000    0.077    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5512(name_scope)
     1484    0.007    0.000    0.071    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:751(get_output_details)
      742    0.013    0.000    0.067    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:61(__init__)
      742    0.066    0.000    0.066    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1255(mel_to_hz)
      742    0.006    0.000    0.065    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2979(prod)
     8904    0.036    0.000    0.063    0.000 <frozen importlib._bootstrap>:1167(_find_and_load)
      742    0.007    0.000    0.060    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1587(fft_frequencies)
      742    0.002    0.000    0.059    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:704(set_tensor)
     6678    0.012    0.000    0.058    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
     1484    0.012    0.000    0.058    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:759(<listcomp>)
      742    0.004    0.000    0.058    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:928(invoke)
      742    0.057    0.000    0.057    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.SetTensor}
     1484    0.053    0.000    0.057    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1181(hz_to_mel)
     4452    0.039    0.000    0.056    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:1330(normalize_axis_tuple)
     8162    0.056    0.000    0.056    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/eager/context.py:1170(executing_eagerly)
     4452    0.052    0.000    0.055    0.000 {built-in method tensorflow.python.framework._pywrap_python_api_dispatcher.Dispatch}
     9646    0.055    0.000    0.055    0.000 {built-in method numpy.array}
      755    0.007    0.000    0.055    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:710(get_device_info_by_host_api_device_index)
      742    0.016    0.000    0.054    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:78(_clear_buffers)
      742    0.043    0.000    0.053    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/fft/helper.py:172(rfftfreq)
      742    0.009    0.000    0.053    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2421(all)
     2226    0.044    0.000    0.052    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:129(_set_pad_area)
    11130    0.052    0.000    0.052    0.000 {built-in method numpy.asarray}
      742    0.048    0.000    0.048    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.Invoke}
     5194    0.009    0.000    0.047    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:96(base_dtype)
     3710    0.031    0.000    0.045    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:793(as_dtype)
      756    0.008    0.000    0.044    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:827(get_device_info_by_index)
    32725    0.028    0.000    0.044    0.000 {built-in method builtins.isinstance}
     4453    0.026    0.000    0.044    0.000 /usr/lib/python3.11/logging/__init__.py:1479(info)
     6678    0.018    0.000    0.044    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
     2968    0.019    0.000    0.042    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:615(__tf_tensor__)
      742    0.007    0.000    0.041    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:391(numpy)
     5194    0.038    0.000    0.038    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:83(_is_ref_dtype)
     1484    0.017    0.000    0.038    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numerictypes.py:357(issubdtype)
     5936    0.017    0.000    0.037    0.000 /usr/lib/python3.11/threading.py:359(notify)
     2226    0.035    0.000    0.035    0.000 {built-in method numpy.arange}
     2230    0.035    0.000    0.035    0.000 {method '__exit__' of '_io._IOBase' objects}
      742    0.033    0.000    0.035    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/function_base.py:1324(diff)
     4452    0.010    0.000    0.035    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:537(swapaxes)
      756    0.016    0.000    0.035    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:840(_make_device_info_dictionary)
    12600    0.026    0.000    0.034    0.000 /usr/lib/python3.11/queue.py:209(_qsize)
     2226    0.032    0.000    0.032    0.000 {method 'copy' of 'numpy.ndarray' objects}
    11117    0.019    0.000    0.031    0.000 /usr/lib/python3.11/threading.py:279(_is_owned)
      742    0.004    0.000    0.031    0.000 {method 'all' of 'numpy.ndarray' objects}
     6678    0.022    0.000    0.029    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:385(dtype)
        1    0.000    0.000    0.029    0.029 /home/alvaro/TFG/V5_Audio/audio_recorder.py:121(__del__)
