         28790 function calls (27925 primitive calls) in 11.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.001    0.000    0.005    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:392(pad_center)
       60    0.000    0.000    0.005    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:673(get_input_details)
      120    0.001    0.000    0.004    0.000 {built-in method tensorflow.python.framework._pywrap_python_api_dispatcher.Dispatch}
       20    0.003    0.000    0.004    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/spectrum.py:1697(power_to_db)
      200    0.001    0.000    0.004    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/eager/context.py:2570(executing_eagerly)
      240    0.001    0.000    0.004    0.000 /usr/lib/python3.11/importlib/__init__.py:108(import_module)
       80    0.004    0.000    0.004    0.000 {built-in method numpy.zeros}
      220    0.004    0.000    0.004    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/eager/context.py:1170(executing_eagerly)
       20    0.002    0.000    0.004    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:238(valid_audio)
      100    0.002    0.000    0.004    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:586(_get_tensor_details)
       20    0.000    0.000    0.003    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:188(get_output)
       60    0.001    0.000    0.003    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:699(<listcomp>)
       80    0.000    0.000    0.003    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:615(__tf_tensor__)
       20    0.001    0.000    0.003    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:192(output_tensor)
       33    0.000    0.000    0.003    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:710(get_device_info_by_host_api_device_index)
       60    0.002    0.000    0.003    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
      120    0.001    0.000    0.003    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:458(_as_pairs)
      240    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1194(_gcd_import)
       34    0.000    0.000    0.003    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:827(get_device_info_by_index)
       60    0.003    0.000    0.003    0.000 {built-in method numpy.arange}
       60    0.001    0.000    0.003    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:1393(moveaxis)
      300    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       42    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/psutil/__init__.py:1567(cpu_count)
   332/11    0.000    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
   332/11    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
       20    0.000    0.000    0.003    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3385(mean)
       34    0.001    0.000    0.003    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:840(_make_device_info_dictionary)
       40    0.001    0.000    0.003    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
       60    0.002    0.000    0.003    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:86(_pad_simple)
1232/1172    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       20    0.002    0.000    0.002    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:523(_parse_einsum_input)
       42    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:613(cpu_count_logical)
       20    0.000    0.000    0.002    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:61(__init__)
       20    0.001    0.000    0.002    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:101(_mean)
       42    0.002    0.000    0.002    0.000 {built-in method posix.sysconf}
       20    0.000    0.000    0.002    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:704(set_tensor)
       20    0.000    0.000    0.002    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:78(_clear_buffers)
       20    0.002    0.000    0.002    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.SetTensor}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/argparse.py:1742(__init__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/ctypes/__init__.py:453(LoadLibrary)
       34    0.001    0.000    0.002    0.000 /usr/lib/python3.11/locale.py:678(getpreferredencoding)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/ctypes/__init__.py:342(__init__)
       20    0.000    0.000    0.002    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:928(invoke)
      100    0.001    0.000    0.002    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5512(name_scope)
        1    0.002    0.002    0.002    0.002 {built-in method _ctypes.dlopen}
       40    0.000    0.000    0.002    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:751(get_output_details)
       20    0.002    0.000    0.002    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1255(mel_to_hz)
       20    0.000    0.000    0.002    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2979(prod)
       20    0.002    0.000    0.002    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.Invoke}
      240    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1167(_find_and_load)
      180    0.000    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
       40    0.000    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:759(<listcomp>)
      120    0.001    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:1330(normalize_axis_tuple)
       40    0.001    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1181(hz_to_mel)
       34    0.001    0.000    0.001    0.000 {built-in method _locale.getencoding}
       20    0.000    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2421(all)
       60    0.001    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:129(_set_pad_area)
      300    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.11/gettext.py:619(gettext)
